site_id,site_name,latitude,longitude,altitude,state,country_code,county,status,site_class,start_date,end_date
OK99,Stilwell,35.7508,-94.67,299.0,OK,US,Adair,A,R,2007-10-30,
ON26,Longwoods,42.8836,-81.4803,239.0,ON,CA,,A,R,2013-10-08,
PA00,Arendtsville,39.9231,-77.3078,269.0,PA,US,Adams,A,R,2009-10-13,
PA29,Kane Experimental Forest,41.5978,-78.7675,618.0,PA,US,Elk,A,R,2011-03-08,
PA56,M. K. Goddard,41.4268,-80.1452,377.0,PA,US,Mercer,A,R,2014-12-30,
PA97,Laurel Hill,39.9883,-79.2515,608.0,PA,US,Somerset,A,R,2015-07-17,
PR20,El Verde,18.3206,-65.82,380.0,PR,US,Rio Grande,A,,2014-03-04,
SK27,Pinehouse,55.5121,-106.7245,404.0,SK,CA,,A,I,2017-03-24,
TN01,Great Smoky Mountains NP - Look Rock,35.6331,-83.9422,793.0,TN,US,Blount,A,R,2011-03-15,
TN04,Speedwell,36.4698,-83.8272,384.0,TN,US,Claiborne,A,R,2015-01-13,
TN07,Edgar Evins,36.0389,-85.733,302.0,TN,US,De Kalb,A,R,2015-01-13,
TX41,Alabama-Coushatta,30.7015,-94.674,105.0,TX,US,Polk,A,I,2015-01-13,
TX43,Ca??nceta,34.88,-101.665,1057.0,TX,US,Randall,A,I,2007-10-30,
UT01,Logan,41.6661,-111.8914,1370.0,UT,US,Cache,A,S,2011-11-08,
UT09,Canyonlands National Park-Island in the Sky,38.4584,-109.821,1797.0,UT,US,San Juan,A,I,2014-05-06,
UT97,Salt Lake City,40.7118,-111.9609,1297.0,UT,US,Salt Lake,A,U,2011-11-08,
VA13,Blue Grass Trail,37.3232,-80.4572,652.0,VA,US,Giles,A,R,2015-01-13,
VA24,Prince Edward,37.1652,-78.3073,150.0,VA,US,Prince Edward,A,R,2011-03-01,
WA04,Confederated Tribes of the Umatilla Indian Reservation,46.2026,-117.9539,681.0,WA,US,Columbia,A,,2020-11-10,
WA99,Mount Rainier National Park-Tahoma Woods,46.7582,-122.1243,424.0,WA,US,Pierce,A,I,2011-03-16,
WI01,Odanah,46.6022,-90.6561,188.0,WI,US,Ashland,A,,2018-10-02,
WI06,UW Arboretum,43.041,-89.428,265.0,WI,US,Dane,A,U,2019-02-19,
WI35,Perkinstown,45.2064,-90.5978,472.0,WI,US,Taylor,A,I,2011-03-29,
WV18,Parsons,39.0897,-79.6622,505.0,WV,US,Tucker,A,I,2011-06-07,
WY06,Pinedale,42.929,-109.7875,2388.0,WY,US,Sublette,A,I,2015-01-14,
WY92,Grand Targhee,43.7927,-110.9593,2461.0,WY,US,Teton,A,,2019-10-01,
WY94,Grand Tetons National Park,43.6709,-110.5995,2105.0,WY,US,Teton,A,I,2011-09-22,
WY95,Brooklyn Lake,41.3647,-106.2408,3181.0,WY,US,Albany,A,I,2012-06-19,
NC98,Duke Forest Flux Tower,35.9745,-79.099,206.0,NC,US,Orange,C,,2018-08-22,2025-02-11
SK28,Flat Valley,54.2953,-109.2119,500.0,SK,CA,,C,I,2017-03-22,2024-12-31
WY93,Basin - Big Horn,44.28,-108.0411,1241.0,WY,US,Big Horn,C,I,2015-06-02,2025-05-01
AK06,Gates of the Arctic National Park - Bettles,66.906,-151.683,630.0,AK,US,Yukon-Koyukuk,I,I,2015-04-21,2015-10-21
AK96,Toolik Field Station,68.6257,-149.6069,730.0,AK,US,North Slope Borough,I,I,2018-09-04,2023-08-01
CO13,Fort Collins,40.5923,-105.1414,1570.0,CO,US,Larimer,I,S,2007-11-27,2022-05-10
FL94,Gainesville,29.6489,-82.4913,,FL,US,Alachua,I,S,2017-05-23,2017-11-29
GA40,Yorkville,33.9282,-85.0451,395.0,GA,US,Paulding,I,R,2011-12-23,2017-01-03
IL46,Alhambra,38.8689,-89.6219,164.0,IL,US,Madison,I,R,2011-03-03,2022-11-29
IN20,Roush Lake,40.8401,-85.4639,244.0,IN,US,Huntington,I,R,2015-01-13,2022-05-10
IN99,Indianapolis,39.8108,-86.1144,230.0,IN,US,Marion,I,U,2007-10-30,2022-05-10
KS03,Reserve,39.9792,-95.5681,265.0,KS,US,Brown,I,R,2011-10-11,2023-01-03
KS97,Kickapoo Tribe - Powhattan,39.7603,-95.6358,367.0,KS,US,Brown,I,R,2015-01-13,2023-08-21
KS98,Coffeyville,37.0469,-95.6133,230.0,KS,US,Montgomery,I,R,2007-10-30,2011-04-26
KY98,Cadiz,36.7841,-87.8499,189.0,KY,US,Trigg,I,R,2011-03-15,2022-05-10
ME93,Ashland,46.6038,-68.4132,231.0,ME,US,Aroostook,I,I,2015-01-13,2022-05-10
MI52,Ann Arbor,42.4164,-83.9019,267.0,MI,US,Washtenaw,I,S,2015-02-03,2022-05-10
MI96,Detroit,42.25,-83.2,180.0,MI,US,Wayne,I,U,2007-10-29,2022-05-10
MN29,Blue Mounds,43.6666,-96.2333,478.0,MN,US,Rock,I,R,2007-10-30,2009-03-03
MN42,Great River Bluffs,44.05,-91.6333,202.0,MN,US,Winona,I,R,2007-10-30,2009-03-10
NC02,Cranberry,36.1054,-82.045,1216.0,NC,US,Avery,I,R,2015-01-13,2022-05-10
NC99,Durham,35.8924,-78.8773,85.0,NC,US,Durham,I,U,2008-06-24,2009-02-11
NE98,Santee,42.8292,-97.8541,443.0,NE,US,Knox,I,I,2011-04-26,2024-05-01
NH02,Hubbard Brook,43.9433,-71.7029,250.0,NH,US,Grafton,I,R,2012-06-05,2022-05-10
NM98,Navajo Lake,36.8097,-107.6515,1972.0,NM,US,Rio Arriba,I,I,2008-01-11,2022-05-10
NM99,Farmington,36.7358,-108.2383,1634.0,NM,US,San Juan,I,R,2008-01-09,2022-05-10
NY20,Huntington Wildlife,43.9731,-74.2231,500.0,NY,US,Essex,I,I,2012-06-05,2022-05-10
NY43,Rochester,43.1463,-77.5482,136.0,NY,US,Monroe,I,U,2016-06-14,2017-10-03
NY56,Queens College,40.7361,-73.8215,28.0,NY,US,Queens,I,U,2016-06-13,2017-10-03
NY89,Pinnacle State Park,42.0914,-77.2097,507.0,NY,US,Steuben,I,R,2016-06-14,2017-10-03
NY90,Potsdam - Clarkson University,44.6621,-75.002,147.0,NY,US,St. Lawrence,I,R,2016-06-14,2017-09-21
OH02,Athens Super Site,39.3078,-82.1182,275.0,OH,US,Athens,I,R,2007-10-30,2022-05-10
OH27,Cincinnati,39.15,-84.5166,194.0,OH,US,Hamilton,I,U,2007-10-30,2022-05-10
OH54,Deer Creek State Park,39.6359,-83.2606,267.0,OH,US,Pickaway,I,R,2011-03-01,2022-05-10
ON07,Egbert,44.2339,-79.7917,196.0,ON,CA,Simcoe,I,S,2007-10-30,2010-12-21
ON25,Bonner Lake,49.3856,-82.1214,242.0,ON,CA,,I,I,2013-10-08,2017-03-21
PA96,Penn State - Fairbrook Park,40.7209,-77.9317,374.0,PA,US,Centre,I,S,2015-01-13,2022-05-10
SC05,Cape Romain National Wildlife Refuge,32.943,-79.6592,1.0,SC,US,Charleston,I,R,2007-10-30,2022-05-10
VT99,Underhill,44.5283,-72.8684,399.0,VT,US,Chittenden,I,R,2012-11-20,2022-05-10
WI07,Horicon Marsh,43.466,-88.621,287.0,WI,US,Dodge,I,R,2007-10-30,2022-05-10
WI94,Bakken's Pond,43.1796,-90.1339,,WI,US,Suak,I,,2019-08-06,2021-12-31
WV05,Cedar Creek State Park,38.8794,-80.8476,210.0,WV,US,Gilmer,I,R,2015-01-13,2022-05-10
