site_id,site_name,latitude,longitude,altitude,area_classification
OK01,Mcgee Creek,34.3154,-95.8893,195.0,rural-remote
OK04,Lake Murray,34.1033,-97.0708,245.0,rural
OK05,Hugo,34.0315,-95.5376,174.0,nan
OK06,Wichita Mountains Nwr,34.7342,-98.7094,492.0,rural-remote
OK15,Newkirk,36.9564,-97.0335,349.0,rural
OK19,Pryor,36.2283,-95.25,188.0,rural
OK22,Miami,36.895,-94.758,258.0,rural
OK31,Copan,36.9081,-95.8823,255.0,rural
OK97,Tuskahoma,34.6339,-95.2961,182.0,nan
OK99,Stilwell,35.7508,-94.67,299.0,rural
ON03,Dorset,45.2239,-78.9311,320.0,nan
ON07,Egbert,44.2339,-79.7917,196.0,urban-suburban
ON10,Burnt Island,45.8083,-82.95,184.0,nan
ON11,Point Petre,43.8428,-77.1536,78.0,nan
ON18,Experimental Lakes Area,49.6642,-93.7328,432.0,rural-remote
ON99,Egbert Forest,44.2341,-79.7917,237.0,urban-suburban
OR01,Beaverton,45.4704,-122.8151,81.0,urban
OR10,H. J. Andrews Experimental Forest,44.2118,-122.256,443.0,rural-remote
PA00,Arendtsville,39.9231,-77.3078,269.0,rural
PA13,Allegheny Portage Railroad National Historic Site,40.457,-78.56,739.0,urban-suburban
PA18,Young Woman'S Creek,41.4142,-77.6799,272.0,rural-remote
PA19,Centralia,40.7987,-76.3381,485.0,rural
PA21,Goddard State Park,41.4271,-80.1451,385.0,rural
PA29,Kane Experimental Forest,41.5978,-78.7675,618.0,rural
PA30,Erie,42.1558,-80.1134,177.0,urban-suburban
PA37,Waynesburg,39.8161,-80.285,452.0,rural
PA42,Leading Ridge,40.6575,-77.9397,287.0,rural
PA47,Millersville,39.9909,-76.3856,84.0,urban-suburban
PA52,Little Pine State Park,41.3639,-77.3561,228.0,rural-remote
PA60,Valley Forge,40.1166,-75.8833,46.0,urban-suburban
PA72,Milford,41.3273,-74.8199,212.0,rural
