site_id,site_name,latitude,longitude,altitude,state,region
A358,JAGUARIBE,-5.90555555,-38.62777777,149.31,CE,NE
A359,ITAPIPOCA,-3.48416666,-39.5886111,104.49,CE,NE
A360,ACARAU,-3.1211111,-40.08722221,67.15,CE,NE
A361,CASTELO DO PIAUI,-5.34916666,-41.51222222,268.75,PI,NE
A363,VALENCA DO PIAUI,-6.4236111,-41.74888888,372.0,PI,NE
A364,GILBUES,-9.87527777,-45.34583333,425.1,PI,NE
A365,CANTO DO BURITI,-8.11805554,-42.97583332,312.07,PI,NE
A366,OURICURI,-7.88583333,-40.10277777,457.85,PE,NE
A367,SANTA CRUZ,-6.22805554,-36.02666666,227.49,RN,NE
A368,TIANGUA,-3.73222221,-41.01194444,756.0,CE,NE
A369,QUIXADA,-4.97888888,-39.05722222,193.0,CE,NE
A370,SALGUEIRO,-8.05805555,-39.0961111,447.0,PE,NE
A371,PIRANHAS,-9.62222221,-37.76722221,187.0,AL,NE
A372,IPANGUACU,-5.53499999,-36.87222221,19.0,RN,NE
A373,ITAPORANGA,-7.31833332,-38.14083333,292.0,PB,NE
A374,CORRENTE,-10.42916666,-45.17305554,452.0,PI,NE
A375,BAIXA GRANDE DO RIBEIRO,-8.333531,-45.094625,519.0,PI,NE
A376,CAMPO MAIOR,-4.86416666,-42.14555555,125.0,PI,NE
A377,ANGICAL DO PIAUI,-6.08944444,-42.72749999,183.0,PI,NE
A401,SALVADOR,-13.00555555,-38.50583333,47.56,BA,NE
A402,BARREIRAS,-12.12472221,-45.02694443,474.17,BA,NE
A404,LUIS EDUARDO MAGALHAES,-12.1525,-45.82972221,760.68,BA,NE
A405,CARAVELAS,-17.73944444,-39.25861111,6.05,BA,NE
A406,CRUZ DAS ALMAS,-12.67555554,-39.08944444,219.76,BA,NE
A407,ITIRUCU,-13.52777777,-40.11972221,757.42,BA,NE
A408,ITABERABA,-12.52416666,-40.29972221,250.11,BA,NE
A409,ARACAJU,-10.9525,-37.05444444,3.72,SE,NE
A410,ILHEUS,-14.65888888,-39.18138888,80.21,BA,NE
A412,MACAJUBA,-12.13166666,-40.35416666,360.0,BA,NE
A413,FEIRA DE SANTANA,-12.1961111,-38.96749999,229.64,BA,NE
A414,VITORIA DA CONQUISTA,-14.88638888,-40.80138888,879.38,BA,NE
A415,SANTA RITA DE CASSIA,-11.00333333,-44.53638888,450.0,BA,NE
A416,CORRENTINA,-13.33249999,-44.61749999,551.71,BA,NE
A417,ITABAIANINHA,-11.27249999,-37.79499999,204.8,SE,NE
A418,BOM JESUS DA LAPA,-13.25111111,-43.40527777,447.75,BA,NE
A419,POCO VERDE,-10.73805555,-38.10833333,367.01,SE,NE
A420,CARIRA,-10.39972221,-37.74749999,289.92,SE,NE
A421,BREJO GRANDE,-10.47388888,-36.48194443,6.11,SE,NE
A422,ABROLHOS,-17.96305555,-38.70333333,20.93,BA,NE
A423,REMANSO,-9.62555554,-42.07722221,397.4,BA,NE
A424,IRECE,-11.32888888,-41.86444444,768.42,BA,NE
A425,LENCOIS,-12.55777777,-41.38888888,438.09,BA,NE
A426,GUANAMBI,-14.20805555,-42.74972221,552.23,BA,NE
A427,PORTO SEGURO,-16.38888888,-39.18249999,86.36,BA,NE
