site_id,site_name,latitude,longitude,altitude,area_classification
Calhau,Calhau,16.863889,-24.867222,40.0,nan
CalipsoRidgely,Calipso Ridgely,38.94863,-75.8815,15.0,nan
CalipsoZion,Calipso Zion,39.932389,-76.199,120.0,nan
Camaguey,Camaguey,21.4223,-77.8499,122.0,nan
CamborneMO,Camborne Mo,50.21782,-5.32656,87.0,nan
CampoGrande,Campo Grande,-20.45,-54.616667,551.0,nan
CampoGrandeSONDA,Campo Grande Sonda,-20.438617,-54.538742,677.0,nan
CampusUSACH,Campus Usach,-33.4499,-70.681567,550.0,nan
Canberra,Canberra,-35.2713,149.1111,600.0,nan
CapeFugueiStation,Cape Fuguei Station,25.297452,121.537859,40.0,nan
CapeRomain,Cape Romain,32.941,-79.6572,4.0,nan
CapeSanJuan,Cape San Juan,18.3845,-65.6199,15.0,nan
CapelDewi,Capel Dewi,52.424804,-4.004613,48.0,nan
CapoVerde,Capo Verde,16.7325,-22.935499,60.0,nan
Carloforte,Carloforte,39.139908,8.309875,15.0,nan
Carlsbad,Carlsbad,32.368833,-104.233167,967.0,nan
CarmelValley,Carmel Valley,36.4021,-121.6464,340.0,nan
Carpentras,Carpentras,44.083333,5.058333,107.0,nan
CartSite,Cart Site,36.60667,-97.48639,318.0,nan
CasablancaPlatform,Casablanca Platform,40.717,1.358,35.0,nan
CascadeAirport,Cascade Airport,44.495286,-116.016825,1447.0,nan
Catalina,Catalina,32.456511,-110.879547,935.0,nan
CerroPoyos,Cerro Poyos,37.108869,-3.487261,1809.0,nan
Chachoengsao,Chachoengsao,13.5,101.45,60.0,nan
Chapais,Chapais,49.822433,-74.9754,373.44000244140625,nan
CheboguePoint,Chebogue Point,43.747,-66.123,18.0,nan
Chen-KungUniv,Chen-Kung Univ,22.993419,120.204664,50.0,nan
Chequamegon,Chequamegon,45.933333,-90.25,485.0,nan
Cheritan,Cheritan,37.289478,-75.971778,5.0,nan
ChesapeakeBay,Chesapeake Bay,39.12351,-76.3489,30.0,nan
ChiangDao,Chiang Dao,19.454722,98.9609,450.0,nan
ChiangMai,Chiang Mai,18.813333,98.986944,324.0,nan
ChiangMaiMetSta,Chiang Mai Met Sta,18.771125,98.972467,312.0,nan
Chiayi,Chiayi,23.495975,120.495975,62.0,nan
ChibaUniversity,Chiba University,35.6247,140.1038,60.0,nan
Chilbolton,Chilbolton,51.14446,-1.43698,88.0,nan
ChinaLake,China Lake,35.6741,-117.744533,704.0,nan
Chinhae,Chinhae,35.1558,128.652433,69.0,nan
Chulalongkorn,Chulalongkorn,13.736111,100.530278,115.0,nan
Churchill,Churchill,58.736,-93.818167,10.0,nan
ClermontFerrand,Clermont Ferrand,45.772435,2.964332,1461.0,nan
CliffCreek1,Cliff Creek 1,45.108708,-114.843318,1351.0,nan
CliffCreek2,Cliff Creek 2,45.115091,-114.843248,1552.0,nan
CliffCreek3,Cliff Creek 3,45.115417,-114.836824,1727.0,nan
CliffCreek4,Cliff Creek 4,45.123432,-114.83938,2024.0,nan
CliffCreek5,Cliff Creek 5,45.129928,-114.846827,2068.0,nan
CliffCreek6,Cliff Creek 6,45.144171,-114.845318,2232.0,nan
CoconutIsland,Coconut Island,21.4329,-157.789717,2.0,nan
ColdLake,Cold Lake,54.417,-110.283,539.0,nan
Coleambally,Coleambally,-34.8101,146.0644,127.0,nan
ColumbiaSC,Columbia Sc,34.022803,-81.036333,104.19999694824219,nan
Concepcion,Concepcion,-16.138167,-62.028,500.0,nan
Corcoran,Corcoran,36.10343,-119.5661,110.0,nan
Cordoba-CETT,Cordoba-Cett,-31.524075,-64.463682,730.0,nan
CorkUCC,Cork Ucc,51.89241,-8.493762,40.0,nan
Coruna,Coruna,43.363,-8.4208,67.0,nan
Creteil,Creteil,48.7885,2.442783,57.0,nan
CroisicUTLN,Croisic Utln,47.293606,-2.5134,6.0,nan
CrozetIsland,Crozet Island,-46.434806,51.850361,221.0,nan
Cuiaba,Cuiaba,-15.555244,-56.070214,234.0,nan
DEWAResearchCentre,Dewa Researchcentre,24.766847,55.369125,86.80000305175781,nan
DMNMaineSoroa,Dmn Maine Soroa,13.216717,12.023067,350.0,nan
DRAGONABERD,Dragon Aberd,39.515103,-76.16523,37.0,nan
DRAGONANNEA,Dragon Annea,39.1647,-76.6247,30.0,nan
DRAGONARNCC,Dragon Arncc,39.1589,-76.7208,50.0,nan
DRAGONARNLS,Dragon Arnls,39.058488,-76.512926,12.0,nan
DRAGONAldine,Dragon Aldine,29.901037,-95.326125,20.0,nan
DRAGONAldino,Dragon Aldino,39.563433,-76.203932,127.0,nan
DRAGONAnmyeon,Dragon Anmyeon,36.53863,126.33002,58.599998474121094,nan
DRAGONArvin,Dragon Arvin,35.237959,-118.78781,158.0,nan
DRAGONAuroraEast,Dragon Aurora East,39.63854,-104.56913,1802.0,nan
DRAGONBATMR,Dragon Batmr,39.398913,-76.47555,65.0,nan
DRAGONBLDND,Dragon Bldnd,39.258315,-76.519504,11.0,nan
DRAGONBLLRT,Dragon Bllrt,39.389385,-76.578242,127.0,nan
DRAGONBLTCC,Dragon Bltcc,39.362201,-76.688429,120.0,nan
DRAGONBLTNR,Dragon Bltnr,39.2156,-76.6186,50.0,nan
DRAGONBOWEM,Dragon Bowem,38.9747,-76.7506,40.0,nan
DRAGONBTMDL,Dragon Btmdl,39.238826,-76.441601,5.0,nan
DRAGONBainbridge,Dragon Bainbridge,39.606044,-76.074122,129.0,nan
DRAGONBakersfield,Dragon Bakersfield,35.331506,-119.000008,50.0,nan
DRAGONBelAir,Dragon Belair,39.500014,-76.263098,52.0,nan
DRAGONBeltsville,Dragon Beltsville,39.054091,-76.877491,53.0,nan
DRAGONBokjeong,Dragon Bokjeong,37.45699,127.13123,61.20000076293945,nan
DRAGONBoulder,Dragon Boulder,39.991859,-105.261325,1660.0,nan
DRAGONCLLGP,Dragon Cllgp,38.9911,-76.9086,65.0,nan
DRAGONCLRST,Dragon Clrst,39.20541,-76.94445,140.0,nan
DRAGONChannelView,Dragon Channel View,29.8025,-95.125556,10.0,nan
DRAGONChatfieldPk,Dragon Chatfield Pk,39.5345,-105.070365,1676.0,nan
DRAGONClinton,Dragon Clinton,29.733611,-95.2575,10.0,nan
DRAGONClovis,Dragon Clovis,36.81931,-119.71639,90.0,nan
DRAGONConroe,Dragon Conroe,30.350278,-95.425,72.0,nan
DRAGONCorcoran,Dragon Corcoran,36.10222,-119.56583,55.0,nan
DRAGONDeerPark,Dragon Deer Park,29.670046,-95.128485,10.0,nan
DRAGONDenverLaCasa,Dragon Denverlacasa,39.77949,-105.00518,1601.0,nan
DRAGONDrummond,Dragon Drummond,36.70556,-119.74139,90.0,nan
DRAGONEDCMS,Dragon Edcms,38.922218,-76.560012,13.0,nan
DRAGONELLCT,Dragon Ellct,39.2661,-76.861603,128.0,nan
DRAGONEdgewood,Dragon Edgewood,39.409834,-76.296352,8.0,nan
DRAGONEssex,Dragon Essex,39.310943,-76.474486,12.0,nan
DRAGONFLLST,Dragon Fllst,39.522366,-76.413318,151.0,nan
DRAGONFairHill,Dragon Fairhill,39.701435,-75.860059,117.0,nan
DRAGONFortCollins,Dragon Fort Collins,40.592795,-105.14141,1572.0,nan
DRAGONFukue,Dragon Fukue,32.752,128.682,80.0,nan
DRAGONFukuoka,Dragon Fukuoka,33.524,130.475,30.0,nan
DRAGONGalveston,Dragon Galveston,29.254474,-94.861289,1.0,nan
DRAGONGalvestonDP,Dragon Galveston Dp,29.254474,-94.861289,1.0,nan
DRAGONGangneungWNU,Dragon Gangneungwnu,37.771,128.867,60.0,nan
DRAGONGarland,Dragon Garland,36.78537,-119.77302,100.0,nan
DRAGONGuwol,Dragon Guwol,37.44967,126.72403,38.5,nan
DRAGONGwangjuGIST,Dragon Gwangju Gist,35.228278,126.843139,52.0,nan
DRAGONHakuba,Dragon Hakuba,36.700666,137.864134,703.0,nan
DRAGONHanford,Dragon Hanford,36.31572,-119.64323,50.0,nan
DRAGONHankukUFS,Dragon Hankuk Ufs,37.33883,127.26582,167.0,nan
DRAGONHenties3,Dragon Henties 3,-22.184012,14.377948,30.0,nan
DRAGONHenties4,Dragon Henties 4,-22.020377,14.345504,100.0,nan
DRAGONHenties5,Dragon Henties 5,-22.091751,14.399573,90.0,nan
DRAGONHenties6,Dragon Henties 6,-22.166736,14.430668,80.0,nan
DRAGONIida,Dragon Iida,35.516667,137.842199,490.0,nan
DRAGONIna,Dragon Ina,35.8475,137.96125,683.0,nan
DRAGONJalanChainF,Dragon Jalan Chainf,5.400542,100.381339,8.0,nan
DRAGONKampungBharu,Dragon Kampungbharu,5.341589,100.463158,10.0,nan
DRAGONKentIsland,Dragon Kentisland,38.9793,-76.307864,4.0,nan
DRAGONKobe,Dragon Kobe,34.72,135.291,20.0,nan
DRAGONKofu,Dragon Kofu,35.678889,138.571534,314.0,nan
DRAGONKohriyama,Dragon Kohriyama,37.361042,140.3829,230.0,nan
DRAGONKongjuNU,Dragon Kongju Nu,36.470623,127.140023,73.0,nan
DRAGONKonkukUniv,Dragon Konkuk Univ,37.54205,127.079774,40.0,nan
DRAGONKoreaUniv,Dragon Korea Univ,37.58514,127.02507,65.4000015258789,nan
DRAGONKunsanNU,Dragon Kunsan Nu,35.941072,126.683008,32.0,nan
DRAGONKyoto,Dragon Kyoto,35.026,135.781,60.0,nan
DRAGONKyungilUniv,Dragon Kyungil Univ,36.038648,128.788442,122.0,nan
DRAGONLAUMD,Dragon Laumd,39.1428,-76.8592,112.0,nan
DRAGONMEWRCentral,Dragon Mewr Central,1.310906,103.836486,50.0,nan
DRAGONMNKTN,Dragon Mnktn,39.572926,-76.652318,182.0,nan
DRAGONMaderaCity,Dragon Madera City,36.953162,-120.034418,78.0,nan
DRAGONManvelCroix,Dragon Manvelcroix,29.520427,-95.392522,19.0,nan
DRAGONMatsue,Dragon Matsue,35.48,133.01,10.0,nan
DRAGONMatsumoto,Dragon Matsumoto,36.251389,137.977832,626.0,nan
DRAGONMinowa,Dragon Minowa,35.915,137.980741,713.0,nan
DRAGONMokpoNU,Dragon Mokpo Nu,34.91342,126.43736,26.0,nan
DRAGONMtHappo,Dragon Mt Happo,36.696858,137.798126,1846.0,nan
DRAGONMtHaruna,Dragon Mt Haruna,36.475441,138.877794,1359.0,nan
DRAGONMtIkoma,Dragon Mt Ikoma,34.6798,135.678667,600.0,nan
DRAGONMtKrigamine,Dragon Mt Krigamine,36.09806,138.168297,1674.0,nan
DRAGONMtRokko,Dragon Mt Rokko,34.757,135.23,797.0,nan
DRAGONNIER,Dragon Nier,37.56893,126.63971,26.899999618530273,nan
DRAGONNREL-Golden,Dragon Nrel-Golden,39.743725,-105.17799,1833.0,nan
DRAGONNWHarrisCO,Dragon Nw Harris Co,30.039444,-95.673889,51.0,nan
DRAGONNara,Dragon Nara,34.688,135.828,80.0,nan
DRAGONNishiharima,Dragon Nishiharima,35.026,134.336,420.0,nan
DRAGONNiwotRidge,Dragon Niwot Ridge,40.031795,-105.533313,2886.0,nan
DRAGONOLNES,Dragon Olnes,39.149148,-77.068267,180.0,nan
DRAGONONNGS,Dragon Onngs,39.387756,-76.81912,177.0,nan
DRAGONOmachi,Dragon Omachi,36.503,137.8514,751.0,nan
DRAGONOsaka-North,Dragon Osaka-North,34.774,135.51,50.0,nan
DRAGONOsaka-South,Dragon Osaka-South,34.5435,135.503867,30.0,nan
DRAGONOsakaCenter,Dragon Osaka Center,34.668477,135.530894,30.0,nan
DRAGONPATUX,Dragon Patux,38.827168,-76.70938,26.0,nan
DRAGONPadonia,Dragon Padonia,39.462036,-76.631669,120.0,nan
DRAGONPandanResrv,Dragon Pandan Resrv,1.318808,103.742362,2.0,nan
DRAGONParlier,Dragon Parlier,36.59744,-119.50369,104.0,nan
DRAGONPasadena,Dragon Pasadena,39.111638,-76.45544,17.0,nan
DRAGONPayaTerubong,Dragon Payaterubong,5.375964,100.275847,30.0,nan
DRAGONPermatangDL,Dragon Permatang Dl,5.277875,100.271253,13.0,nan
DRAGONPineyOrchard,Dragon Pineyorchard,39.060781,-76.719202,59.0,nan
DRAGONPlatteville,Dragon Platteville,40.182765,-104.7261,1523.0,nan
