site_id,site_name,latitude,longitude,altitude,country,municipality,area_classification,station_type,timezone,established_date,closed_date,network,network_code
AT31903,Trasdorf im Tullnerfeld,48.33097,15.8578,185.0,Austria,3453 Atzenbrugg,rural,background,UTC+01,01/01/1983 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32101,Wiesmath,47.6075,16.29314,738.0,Austria,2811 Wiesmath,rural-regional,background,UTC+01,17/09/1992 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32301,St. Pölten Eybnerstraße,48.2116,15.6325,270.0,Austria,3100 St. Pölten,urban-periphery,background,UTC+01,22/10/1992 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32302,St. Pölten Europaplatz,48.20137,15.61999,271.0,Austria,3100 St. Pölten,urban-centre,traffic,UTC+01,01/07/2010 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32401,Wiener Neustadt,47.81417,16.255,265.0,Austria,2700 Wiener Neustadt,urban-periphery,background,UTC+01,01/11/1984 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT32701,"Schwechat Sportplatz, Mühlgasse",48.14558,16.4759,155.0,Austria,2320 Schwechat,urban-periphery,background,UTC+01,07/10/1985 00:00:00,,Amt der Niederösterreichischen Landesregierung,NET.03
AT4BERN,Linz Bernaschekplatz,48.31083,14.28111,260.0,Austria,4020 Linz,urban-centre,traffic,UTC+01,08/02/2000 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4LHBF,Linz HBf. Bahnhofsplatz - Bahnhofspinne,48.29108,14.28951,270.0,Austria,4020 Linz,urban-centre,traffic,UTC+01,01/01/2014 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S108,Grünbach bei Freistadt,48.53111,14.57472,918.0,Austria,4264 Grünbach,rural,background,UTC+01,01/01/1986 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S156,"Braunau Zentrum, Kolpingplatz",48.25747,13.03923,350.0,Austria,5280 Braunau am Inn,urban-periphery,background,UTC+01,01/07/1978 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S173,"Steyregg Au, Freizeitpark",48.27975,14.3665,250.0,Austria,4221 Steyregg,urban-periphery,industrial,UTC+01,01/05/1998 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S184,"Linz Stadtpark, Noßbergerstraße",48.30612,14.2975,260.0,Austria,4020 Linz,urban-centre,background,UTC+01,29/10/2008 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S217,Enns Kristein - A1 Westautobahn,48.20944,14.43694,255.0,Austria,4470 Enns,unknown,traffic,UTC+01,16/01/2012 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S235,Feuerkogel (Höllengebirge),47.81586,13.72074,1602.0,Austria,4802 Ebensee,rural-remote,background,UTC+01,19/05/2015 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S406,Wels Linzerstraße,48.1649,14.0366,316.0,Austria,4600 Wels,urban-periphery,background,UTC+01,01/08/1978 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S409,Steyr Münichholz,48.04925,14.44236,305.0,Austria,4400 Steyr,urban-periphery,background,UTC+01,01/05/1991 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S415,Linz 24er Turm A7,48.32333,14.29778,255.0,Austria,4020 Linz,urban-periphery,traffic,UTC+01,01/07/1979 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S416,Linz Neue Welt,48.27329,14.31479,265.0,Austria,4020 Linz,urban-periphery,background,UTC+01,01/09/1996 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S431,Linz Römerberg B139,48.30299,14.28217,262.0,Austria,4020 Linz,urban-centre,traffic,UTC+01,03/11/1997 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT4S432,Lenzing Hauptstraße,47.97386,13.60892,485.0,Austria,4860 Lenzing,urban-periphery,industrial,UTC+01,29/10/2019 00:00:00,,Amt der Oberösterreichischen Landesregierung,NET.04
AT51500,Salzburg Stadtautobahn A1,47.81486,13.00044,425.0,Austria,5071 Wals-Siezenheim,urban-periphery,traffic,UTC+01,14/10/2013 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT51600,Salzburg Airport Kendlerstraße,47.78549,13.01145,429.0,Austria,5020 Salzburg,urban-periphery,background,UTC+01,21/12/2018 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT52002,Hallein Landesberufsschule,47.68939,13.09306,450.0,Austria,5400 Hallein,urban-periphery,industrial,UTC+01,19/12/2024 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT52015,Hallein Gamp,47.673,13.114,440.0,Austria,5440 Hallein,urban-periphery,industrial,UTC+01,08/09/1994 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT52055,St. Koloman Kleinhorn,47.65028,13.23278,1005.0,Austria,5423 St. Koloman,rural,background,UTC+01,28/06/1990 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT52100,Hallein Winterstall,47.66675,13.10511,650.0,Austria,5400 Hallein,unknown,industrial,UTC+01,01/10/1985 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT52300,Hallein A10 Tauernautobahn,47.69135,13.10815,445.0,Austria,5400 Hallein,urban-periphery,traffic,UTC+01,01/01/2003 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT53055,Haunsberg,47.93667,13.01583,730.0,Austria,5151 Nussdorf am Haunsberg,rural,background,UTC+01,01/12/1985 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT54057,"St. Johann im Pongau, Bezirkshauptmannschaft",47.35139,13.20556,620.0,Austria,5600 St. Johann i. Pongau,urban-periphery,background,UTC+01,28/02/2008 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT55019,Zederhaus Lamm,47.13378,13.54318,1140.0,Austria,5584 Zederhaus,rural,traffic,UTC+01,24/02/2000 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT56072,Zell am See Freizeitzentrum/Eishalle,47.32664,12.79512,775.0,Austria,5700 Zell am See,urban-periphery,background,UTC+01,05/05/2010 00:00:00,,Amt der Salzburger Landesregierung,NET.05
AT60018,Graz Schloßberg,47.07583,15.4375,450.0,Austria,"8010 Graz, KG Innenstadt",urban-centre,background,UTC+01,11/10/1991 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60036,Graz Lustbühel,47.06701,15.49369,473.0,Austria,8020 Graz,urban-periphery,background,UTC+01,15/09/2010 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60106,Köflach,47.06333,15.08667,445.0,Austria,8580 Köflach,urban-periphery,background,UTC+01,25/04/1991 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60118,"Judenburg, Sportplatz",47.17808,14.67667,715.0,Austria,8750 Judenburg,urban-periphery,background,UTC+01,01/06/1989 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60130,Knittelfeld Freiheitsallee,47.21164,14.81972,635.0,Austria,8720 Knittelfeld,urban-periphery,background,UTC+01,06/05/2024 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60135,Straßengel Kirche,47.11306,15.33917,454.0,Austria,8111 Gratwein-Straßengel,urban-periphery,industrial,UTC+01,01/01/1988 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60136,Judendorf Süd,47.12028,15.35111,375.0,Austria,3111 Gratwein-Straßengel,urban-periphery,industrial,UTC+01,01/01/1988 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60138,Graz Nord Gösting,47.09436,15.41511,355.0,Austria,8051 Graz Gösting,urban-periphery,background,UTC+01,23/08/1994 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60142,Leoben Donawitz Kindergarten,47.37533,15.07405,555.0,Austria,8700 Leoben KG Donawitz,urban-periphery,industrial,UTC+01,01/11/1985 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60170,Graz Süd Tiergartenweg,47.04172,15.43308,345.0,Austria,8020 Graz,urban-periphery,background,UTC+01,16/12/2003 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60171,Graz Ost Petersgasse,47.05952,15.46665,366.0,Austria,"8010 Graz, KG Jakomini",urban-centre,traffic,UTC+01,29/12/2005 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60172,Graz Mitte Gries,47.06924,15.43195,366.0,Austria,8020 Graz,urban-centre,background,UTC+01,17/02/2010 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60173,Graz Triester Straße,47.05008,15.42861,345.0,Austria,8020 Graz,urban-periphery,traffic,UTC+01,15/01/2023 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
