site_id,site_name,latitude,longitude,altitude,state,county,city,land_use,location_setting,owning_agency,established_date,closed_date,address,zip_code,area_classification
040051237,Tuba City,36.125018,-111.234727,1500.0,Arizona,Coconino,Not in a City,COMMERCIAL,RURAL,"Navajo Nation, AZ, NM, UT",2006-05-01,,"101 Main Street, Tuba City, AZ",86045.0,rural
040052002,040052002,36.080539,-112.155726,2134.0,Arizona,Coconino,Grand Canyon,UNKNOWN,RURAL,National Park Service,1979-01-01,,HOPI POINT GRAND CANYON NATIONAL PARK,,rural
040058001,Grand Canyon NP - The Abyss,36.05864,-112.1836,2070.0,Arizona,Coconino,Grand Canyon Village,FOREST,RURAL,National Park Service,1989-04-01,,"GRAND CANYON NATIONAL PARK, W RIM DRIVE",86046.0,rural
040058100,040058100,36.077814,-112.129551,1166.0,Arizona,Coconino,Not in a City,FOREST,RURAL,National Park Service,1989-10-04,,Indian Gardens,86046.0,rural
040058102,Hance Camp at Grand Canyon NP,35.973117,-111.984846,2267.0,Arizona,Coconino,Not in a City,FOREST,RURAL,National Park Service,1997-09-24,,Hance Camp at Grand Canyon NP,86046.0,rural
040058103,040058103,35.140635,-111.969938,2046.0,Arizona,Coconino,Not in a City,FOREST,RURAL,National Park Service,1991-09-11,,Sycamore Canyon,86001.0,rural
040059000,Sycamore Canyon,35.1639,-111.9823,2046.0,Arizona,Coconino,Parks (Maine),AGRICULTURAL,RURAL,National Park Service,2015-10-20,,"Sycamore Canyon, AZ",86046.0,rural
040059001,ITEP Flagstaff,35.225136,-111.607603,2142.7,Arizona,Coconino,Flagstaff,RESIDENTIAL,SUBURBAN,Tribal Air Monitoring Support - NAU,2020-01-01,,Skyline Drive,86004.0,urban-periphery
040070008,PAYSON WELL SITE,34.229733,-111.3295,1497.0,Arizona,Gila,Payson,COMMERCIAL,URBAN AND CENTER CITY,Arizona Department Of Environmental Quality,1991-05-30,,204 W AERO DR,85541.0,urban-centre
040070009,MIAMI RIDGELINE,33.399135,-110.858896,1085.0,Arizona,Gila,Miami,RESIDENTIAL,RURAL,Arizona Department Of Environmental Quality,1993-01-01,,4030 LINDEN STREET,85539.0,rural
040070010,TONTO NM,33.6547,-111.1074,786.0,Arizona,Gila,Tonto National Monument,DESERT,RURAL,Arizona Department Of Environmental Quality,1988-04-01,,SOUTH OF SR88,85539.0,rural
040070011,Miami Jones Ranch,33.3855,-110.867267,1242.0,Arizona,Gila,Not in a City,INDUSTRIAL,RURAL,Arizona Department Of Environmental Quality,1997-01-01,,Cherry Flats Rd.,85539.0,rural
040070012,Miami Townsite,33.397433,-110.87445,1035.0,Arizona,Gila,Miami,INDUSTRIAL,RURAL,Arizona Department Of Environmental Quality,1997-01-01,,Sullivan ST & Davis Canyon,85539.0,rural
040070013,Miami Solitude,33.398615,-110.84502,1155.26375081,Arizona,Gila,Not in a City,INDUSTRIAL,RURAL,Arizona Department Of Environmental Quality,2025-01-27,,Cherry Flats Rd,85539.0,rural
040071001,HAYDEN OLD JAIL,33.006179,-110.785797,625.0,Arizona,Gila,Hayden,INDUSTRIAL,URBAN AND CENTER CITY,Arizona Department Of Environmental Quality,1969-01-01,,"JAIL-CANYON DR, HAYDEN",85292.0,urban-centre
040071002,Globe Highway,33.002517,-110.765467,602.0,Arizona,Gila,Not in a City,DESERT,RURAL,Arizona Department Of Environmental Quality,1975-01-01,,SR 77,85292.0,rural
040071003,Hillcrest AMS,33.0035,-110.7822,635.0,Arizona,Gila,Hayden,INDUSTRIAL,RURAL,Arizona Department Of Environmental Quality,2015-12-14,,123 Hillcrest Ave,85292.0,rural
040077106,040077106,33.802,-110.918,2210.0,Arizona,Gila,Not in a City,FOREST,RURAL,US Forest Service,2024-05-09,,"State Highway 288, Young, AZ",85554.0,rural
040078000,MIAMI GOLF COURSE,33.419017,-110.82967,1012.0,Arizona,Gila,Globe,RESIDENTIAL,RURAL,Arizona Department Of Environmental Quality,1991-01-01,,SR 188 & US 60,85539.0,rural
040078020,2nd Street and Garfield Ave,33.002405,-110.78485,622.7064,Arizona,Gila,Hayden,INDUSTRIAL,URBAN AND CENTER CITY,US EPA - Region 9,2006-10-22,,2nd Street and Garfield Ave,85292.0,urban-centre
040078021,824 Thorne Ave,32.99304,-110.771458,608.99,Arizona,Gila,Winkelman,DESERT,RURAL,US EPA - Region 9,2006-11-21,,824 Thorne Ave,85292.0,rural
040078100,Sierra Ancha,34.090866,-110.942801,1600.0,Arizona,Gila,Young,FOREST,RURAL,National Park Service,2000-01-01,,Sierra Ancha,85541.0,rural
040090001,SAFFORD,32.83388,-109.718611,899.0,Arizona,Graham,Safford,COMMERCIAL,URBAN AND CENTER CITY,Arizona Department Of Environmental Quality,1974-01-01,,"523 10TH AVE, SAFFORD",85546.0,urban-centre
040128000,ALAMO LAKE,34.2439,-113.5586,376.0,Arizona,La Paz,Wenden,DESERT,RURAL,Arizona Department Of Environmental Quality,2005-05-20,,ALAMO LAKE STATE PARK,85348.0,rural
