variable,native_name,unit,coordinate_time,coordinate_lat,coordinate_lon,coordinate_lev,description
ethane_mole_fraction,ethane_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
ethanol_density,ethanol_density,ug/m3,time,latitude,longitude,unknown,
ethanol_mole_fraction,ethanol_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
ethene_mole_fraction,ethene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
ethylbenzene_density,ethylbenzene_density,ug/m3,time,latitude,longitude,unknown,
ethylbenzene_mole_fraction,ethylbenzene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
ethyne_mole_fraction,ethyne_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
isoprene_mole_fraction,isoprene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
limonene_density,limonene_density,ug/m3,time,latitude,longitude,unknown,
limonene_mole_fraction,limonene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
m-p-xylene_density,m-p-xylene_density,ug/m3,time,latitude,longitude,unknown,
m-p-xylene_mole_fraction,m-p-xylene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
methane_mole_fraction,methane_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
methanol_mole_fraction,methanol_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
nitric_acid_density,nitric_acid_density,ug/m3,time,latitude,longitude,unknown,
nitrogen_dioxide_density,nitrogen_dioxide_density,ug/m3,time,latitude,longitude,unknown,
nitrogen_dioxide_mole_fraction,nitrogen_dioxide_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
nitrogen_monoxide_density,nitrogen_monoxide_density,ug/m3,time,latitude,longitude,unknown,
nitrogen_monoxide_mole_fraction,nitrogen_monoxide_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
nitrous_acid_density,nitrous_acid_density,ug/m3,time,latitude,longitude,unknown,
nitrous_oxide_mole_fraction,nitrous_oxide_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
o-xylene_density,o-xylene_density,ug/m3,time,latitude,longitude,unknown,
o-xylene_mole_fraction,o-xylene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
ozone_density,ozone_density,ug/m3,time,latitude,longitude,unknown,
ozone_mole_fraction,ozone_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
pressure,pressure,hPa,time,latitude,longitude,unknown,
propane_mole_fraction,propane_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
propene_mole_fraction,propene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
sulphur_dioxide_density,sulphur_dioxide_density,ug/m3,time,latitude,longitude,unknown,
sulphur_dioxide_mole_fraction,sulphur_dioxide_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
temperature,temperature,K,time,latitude,longitude,unknown,
toluene_density,toluene_density,ug/m3,time,latitude,longitude,unknown,
toluene_mole_fraction,toluene_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
trichloromethane_mole_fraction,trichloromethane_mole_fraction,nmol/mol,time,latitude,longitude,unknown,
